# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : Дизайн 3D-очков
gid://shopify/TaxonomyAttribute/8765  : Компоненты мишени
gid://shopify/TaxonomyAttribute/5301  : Целевая зона лица
gid://shopify/TaxonomyAttribute/837   : Целевой пол
gid://shopify/TaxonomyAttribute/10400 : Целевая относительная влажность (RH)
gid://shopify/TaxonomyAttribute/11113 : Механизм возврата мишени
gid://shopify/TaxonomyAttribute/11114 : Тип тренажера для мишени
gid://shopify/TaxonomyAttribute/11115 : Целевые загрязнители
gid://shopify/TaxonomyAttribute/11116 : Целевая группа мышц
gid://shopify/TaxonomyAttribute/1425  : Целевые виды вредителей
gid://shopify/TaxonomyAttribute/5292  : Целевая проблема кожи
gid://shopify/TaxonomyAttribute/1386  : Целевые пятна
gid://shopify/TaxonomyAttribute/7978  : Сорт таро
gid://shopify/TaxonomyAttribute/10401 : Тип верхней кромки бахромы с кисточками
gid://shopify/TaxonomyAttribute/10402 : Назначение бахромы с кисточками
gid://shopify/TaxonomyAttribute/7979  : Вкусовой профиль
gid://shopify/TaxonomyAttribute/1482  : Тип приготовления чая
gid://shopify/TaxonomyAttribute/7980  : Сорт чая
gid://shopify/TaxonomyAttribute/6207  : Тип носика чайника
gid://shopify/TaxonomyAttribute/10403 : Стиль инструмента для распушения
gid://shopify/TaxonomyAttribute/1572  : Технологический уровень
gid://shopify/TaxonomyAttribute/11117 : Стиль основания гольф-ти
gid://shopify/TaxonomyAttribute/1896  : Интерфейс телефонного кабеля
gid://shopify/TaxonomyAttribute/5616  : Второй интерфейс телефонного кабеля
gid://shopify/TaxonomyAttribute/5025  : Тип телефонного кабеля
gid://shopify/TaxonomyAttribute/1850  : Стиль телефона
gid://shopify/TaxonomyAttribute/3306  : Уровень телескопа
gid://shopify/TaxonomyAttribute/3307  : Система отслеживания телескопа
gid://shopify/TaxonomyAttribute/5503  : Тип печатной платы телевизора
gid://shopify/TaxonomyAttribute/5409  : Расположение динамика телевизора
gid://shopify/TaxonomyAttribute/3094  : Специализированные функции телевизора
gid://shopify/TaxonomyAttribute/10404 : Закалка и твердость
gid://shopify/TaxonomyAttribute/2351  : Температура
gid://shopify/TaxonomyAttribute/1774  : Регулировка температуры
gid://shopify/TaxonomyAttribute/10405 : Тип контроля температуры
gid://shopify/TaxonomyAttribute/1555  : Измерение температуры
gid://shopify/TaxonomyAttribute/6208  : Температурные зоны
gid://shopify/TaxonomyAttribute/2668  : Тип шаблона
gid://shopify/TaxonomyAttribute/11118 : Коэффициент строя тенкары
gid://shopify/TaxonomyAttribute/11119 : Покрытие корта для теннисного мяча
gid://shopify/TaxonomyAttribute/11120 : Тип давления теннисного мяча
gid://shopify/TaxonomyAttribute/11121 : Размер рукоятки теннисной ракетки
gid://shopify/TaxonomyAttribute/10406 : Система аппликатуры тенор-флейтофона
gid://shopify/TaxonomyAttribute/10407 : Тип соединения тенорной блокфлейты
gid://shopify/TaxonomyAttribute/10408 : Клапанная система тенор-саксофона
gid://shopify/TaxonomyAttribute/10409 : Материал подушек тенор-саксофона
gid://shopify/TaxonomyAttribute/10410 : Тип кулисы тенор-тромбона
gid://shopify/TaxonomyAttribute/10411 : Конфигурация клапанов тенор-тромбона
gid://shopify/TaxonomyAttribute/2446  : Натяжение
gid://shopify/TaxonomyAttribute/10412 : Тип контроля натяжения
gid://shopify/TaxonomyAttribute/10413 : Механизм натяжения
gid://shopify/TaxonomyAttribute/10415 : Система натяжения
gid://shopify/TaxonomyAttribute/10414 : Система модуляции натяжения и высоты звука
gid://shopify/TaxonomyAttribute/5402  : Система натяжения
gid://shopify/TaxonomyAttribute/11122 : Материал ткани палатки
gid://shopify/TaxonomyAttribute/11123 : Сезонность палатки
gid://shopify/TaxonomyAttribute/5213  : Стиль установки палатки
gid://shopify/TaxonomyAttribute/11124 : Тип установки палатки
gid://shopify/TaxonomyAttribute/11125 : Стиль палатки
gid://shopify/TaxonomyAttribute/1468  : Разновидность текилы
gid://shopify/TaxonomyAttribute/2609  : Режим работы терминала
gid://shopify/TaxonomyAttribute/5548  : Метод заделки
gid://shopify/TaxonomyAttribute/1326  : Местность
gid://shopify/TaxonomyAttribute/1553  : Формат теста
gid://shopify/TaxonomyAttribute/1576  : Метод испытания
gid://shopify/TaxonomyAttribute/8766  : Способ вывода результатов теста
gid://shopify/TaxonomyAttribute/1556  : Тестовый образец
gid://shopify/TaxonomyAttribute/8767  : Система ремней/строп
gid://shopify/TaxonomyAttribute/2892  : Состав набора инвентаря для тетербола
gid://shopify/TaxonomyAttribute/5529  : Политика тетеринга
gid://shopify/TaxonomyAttribute/10416 : Цвет текста
gid://shopify/TaxonomyAttribute/3020  : Характеристики устройства для работы с текстилем
gid://shopify/TaxonomyAttribute/10417 : Тип привода текстильной машины для рукоделия
gid://shopify/TaxonomyAttribute/2315  : Тип проекта по работе с текстилем
gid://shopify/TaxonomyAttribute/10418 : Отделка и обработка текстиля
gid://shopify/TaxonomyAttribute/1558  : Текстура
gid://shopify/TaxonomyAttribute/7981  : Текстурные добавки
gid://shopify/TaxonomyAttribute/1568  : Уровень текстуры
gid://shopify/TaxonomyAttribute/134   : Тема
gid://shopify/TaxonomyAttribute/5096  : Терапевтические характеристики
gid://shopify/TaxonomyAttribute/5078  : Аксессуары для терапевтических качелей в комплекте
gid://shopify/TaxonomyAttribute/11126 : Терапевтическая технология
gid://shopify/TaxonomyAttribute/5085  : Поддерживаемый режим терапии
gid://shopify/TaxonomyAttribute/5117  : Тип температуры терапии
gid://shopify/TaxonomyAttribute/2204  : Тип теплового датчика
gid://shopify/TaxonomyAttribute/5119  : Ощущение температуры
gid://shopify/TaxonomyAttribute/6832  : Состав термокомплекта
gid://shopify/TaxonomyAttribute/6833  : Тепловая плотность
gid://shopify/TaxonomyAttribute/6209  : Тип спая термопары
gid://shopify/TaxonomyAttribute/2205  : Тип термопары
gid://shopify/TaxonomyAttribute/6210  : Конструкция термометра
gid://shopify/TaxonomyAttribute/6211  : Тип ручки термоса
gid://shopify/TaxonomyAttribute/8768  : Тип термостата
gid://shopify/TaxonomyAttribute/2219  : Тип толщины
gid://shopify/TaxonomyAttribute/10419 : Размер направляющей наперстка
gid://shopify/TaxonomyAttribute/10434 : Стиль крепления направляющей для нитей и пряжи
gid://shopify/TaxonomyAttribute/10435 : Регулировка натяжения направляющей для нитей и пряжи
gid://shopify/TaxonomyAttribute/10436 : Особенности органайзера для нитей и пряжи
gid://shopify/TaxonomyAttribute/11127 : Размер резьбового соединения
gid://shopify/TaxonomyAttribute/10420 : Конструкция нити
gid://shopify/TaxonomyAttribute/10422 : Формфактор нитеобрезателя
gid://shopify/TaxonomyAttribute/10423 : Механизм нитеобрезателя
gid://shopify/TaxonomyAttribute/10424 : Функции безопасности ниткореза
gid://shopify/TaxonomyAttribute/10425 : Назначение нитеобрезателя
gid://shopify/TaxonomyAttribute/2126  : Направление резьбы
gid://shopify/TaxonomyAttribute/10426 : Отделка/обработка нити
gid://shopify/TaxonomyAttribute/10427 : Материал нити
gid://shopify/TaxonomyAttribute/10428 : Материал нити (волокно)
gid://shopify/TaxonomyAttribute/10429 : Формат упаковки нити
gid://shopify/TaxonomyAttribute/10430 : Совместимый тип катушек для стойки ниток
gid://shopify/TaxonomyAttribute/6212  : Стандарт резьбы
gid://shopify/TaxonomyAttribute/10431 : Стандартный размер нити
gid://shopify/TaxonomyAttribute/10432 : Тип нити
gid://shopify/TaxonomyAttribute/10433 : Система обозначения толщины нити
gid://shopify/TaxonomyAttribute/10421 : Тип нити или шнура (схема бисероплетения)
gid://shopify/TaxonomyAttribute/2127  : Размер резьбового стержня
gid://shopify/TaxonomyAttribute/10437 : Назначение нитевдевателя
gid://shopify/TaxonomyAttribute/10438 : Система заправки нитей
gid://shopify/TaxonomyAttribute/6834  : Тип вдевания нити
gid://shopify/TaxonomyAttribute/8769  : Тип дросселя (переоборудование скутера)
gid://shopify/TaxonomyAttribute/8770  : Крепление конца спасательного линя
gid://shopify/TaxonomyAttribute/8771  : Тип хранения или упаковки спасательного линя
gid://shopify/TaxonomyAttribute/8772  : Особенности видимости спасательного линя
gid://shopify/TaxonomyAttribute/11128 : Тип работы метателя
gid://shopify/TaxonomyAttribute/11129 : Конструкция большого пальца
gid://shopify/TaxonomyAttribute/5628  : Профиль накладки для большого пальца
gid://shopify/TaxonomyAttribute/6835  : Дизайн тиары
gid://shopify/TaxonomyAttribute/3010  : Дополнительные особенности билета
gid://shopify/TaxonomyAttribute/5036  : Класс билета
gid://shopify/TaxonomyAttribute/2276  : Тип билета
gid://shopify/TaxonomyAttribute/8773  : Входящие точки крепления и ремни
gid://shopify/TaxonomyAttribute/2101  : Конструкция плитки
gid://shopify/TaxonomyAttribute/3394  : Тип игры с костями
gid://shopify/TaxonomyAttribute/3324  : Метод укладки плитки
gid://shopify/TaxonomyAttribute/2102  : Вид плитки
gid://shopify/TaxonomyAttribute/2918  : Материал плитки
gid://shopify/TaxonomyAttribute/2103  : Текстура плитки
gid://shopify/TaxonomyAttribute/10439 : Формат разбиения на листы
gid://shopify/TaxonomyAttribute/6213  : Механизм наклона
gid://shopify/TaxonomyAttribute/6214  : Формат времени
gid://shopify/TaxonomyAttribute/2534  : Период времени
gid://shopify/TaxonomyAttribute/2403  : Тактовый размер
gid://shopify/TaxonomyAttribute/2202  : Временное взвешивание
gid://shopify/TaxonomyAttribute/8774  : Времятоковая характеристика
gid://shopify/TaxonomyAttribute/3042  : Характеристики часов
gid://shopify/TaxonomyAttribute/6570  : Режим отсчета таймера
gid://shopify/TaxonomyAttribute/2040  : Конструкция таймера
gid://shopify/TaxonomyAttribute/6571  : Тип отображения таймера
gid://shopify/TaxonomyAttribute/6215  : Механизм таймера
gid://shopify/TaxonomyAttribute/10440 : Режимы работы таймера
gid://shopify/TaxonomyAttribute/1439  : Тип таймера
gid://shopify/TaxonomyAttribute/8775  : Материал конструкции ремня ГРМ (резиновая смесь)
gid://shopify/TaxonomyAttribute/8776  : Профиль ремня ГРМ
gid://shopify/TaxonomyAttribute/8777  : Материал армирующего корда ремня ГРМ
gid://shopify/TaxonomyAttribute/8778  : Материал тайминг-компонента
gid://shopify/TaxonomyAttribute/10441 : Материал корпуса ирландской флейты
gid://shopify/TaxonomyAttribute/10442 : Тип канала ирландской флейты
gid://shopify/TaxonomyAttribute/10443 : Входящие аксессуары ирландской флейты
gid://shopify/TaxonomyAttribute/6216  : Положение зубьев
gid://shopify/TaxonomyAttribute/5289  : Интенсивность покалывания
gid://shopify/TaxonomyAttribute/2603  : Вид наконечника
gid://shopify/TaxonomyAttribute/8779  : Отделка/покрытие наконечника
gid://shopify/TaxonomyAttribute/1635  : Материал наконечника
gid://shopify/TaxonomyAttribute/2460  : Отверстие мундштука
gid://shopify/TaxonomyAttribute/10444 : Форма наконечника
gid://shopify/TaxonomyAttribute/1606  : Тип наконечника
gid://shopify/TaxonomyAttribute/1297  : Вид наконечника
gid://shopify/TaxonomyAttribute/11130 : Классификация лески
gid://shopify/TaxonomyAttribute/1281  : Тип борта шины
gid://shopify/TaxonomyAttribute/8780  : Тип привода шиномонтажного станка
gid://shopify/TaxonomyAttribute/8781  : Тип шиномонтажного станка
gid://shopify/TaxonomyAttribute/11131 : Тип резиновой смеси шины
gid://shopify/TaxonomyAttribute/6217  : Конструкция шины
gid://shopify/TaxonomyAttribute/6218  : Тип конструкции шины
gid://shopify/TaxonomyAttribute/8782  : Диапазон нагрузки шины
gid://shopify/TaxonomyAttribute/8783  : Положение шины
gid://shopify/TaxonomyAttribute/11132 : Состав ремкомплекта шин
gid://shopify/TaxonomyAttribute/8784  : Тип боковины шины
gid://shopify/TaxonomyAttribute/8785  : Индекс скорости шины
gid://shopify/TaxonomyAttribute/8786  : Тип монтажной лопатки для шин
gid://shopify/TaxonomyAttribute/11133 : Совместимость с системой шин
gid://shopify/TaxonomyAttribute/8787  : Температурный рейтинг шины (UTQG)
gid://shopify/TaxonomyAttribute/8788  : Рейтинг сцепления шины (UTQG)
gid://shopify/TaxonomyAttribute/6219  : Рисунок протектора шины
gid://shopify/TaxonomyAttribute/11134 : Стиль протектора шины
gid://shopify/TaxonomyAttribute/8789  : Тип камеры шины
gid://shopify/TaxonomyAttribute/6220  : Наличие лосьона в салфетках
gid://shopify/TaxonomyAttribute/8790  : Статус титула
gid://shopify/TaxonomyAttribute/6221  : Характеристики тостера
gid://shopify/TaxonomyAttribute/7982  : Назначение табака
gid://shopify/TaxonomyAttribute/7983  : Тип нарезки табака
gid://shopify/TaxonomyAttribute/7984  : Крепость табака
gid://shopify/TaxonomyAttribute/1501  : Тип табака
gid://shopify/TaxonomyAttribute/11135 : Конструкция носка
gid://shopify/TaxonomyAttribute/6836  : Покрытие носка
gid://shopify/TaxonomyAttribute/11136 : Стиль зубца носка конька
gid://shopify/TaxonomyAttribute/6837  : Тип защиты носка
gid://shopify/TaxonomyAttribute/6838  : Тип усиления носка
gid://shopify/TaxonomyAttribute/1607  : Конструкция разделителя пальцев ног
gid://shopify/TaxonomyAttribute/11137 : Размер резьбы штока стопора
gid://shopify/TaxonomyAttribute/1322  : Тип носкового ремня
gid://shopify/TaxonomyAttribute/847   : Тип носка
gid://shopify/TaxonomyAttribute/7985  : Способ приготовления тофу
gid://shopify/TaxonomyAttribute/2149  : Конструкция крышки унитаза
gid://shopify/TaxonomyAttribute/3116  : Характеристики крышки унитаза
gid://shopify/TaxonomyAttribute/2159  : Форма унитаза
gid://shopify/TaxonomyAttribute/2961  : Тип монтажа унитаза/биде
gid://shopify/TaxonomyAttribute/10445 : Функции регулировки крепления тома
gid://shopify/TaxonomyAttribute/10446 : Комплектация крепления том-тома
gid://shopify/TaxonomyAttribute/10447 : Место установки крепления тома
gid://shopify/TaxonomyAttribute/2472  : Конструкция том-тома
gid://shopify/TaxonomyAttribute/5462  : Тип тонарма
gid://shopify/TaxonomyAttribute/6222  : Тип щипцов
gid://shopify/TaxonomyAttribute/8791  : Стиль крепления тента багажника
gid://shopify/TaxonomyAttribute/8792  : Формфактор кейса для инструментов
gid://shopify/TaxonomyAttribute/11138 : Входящие функции инструмента
gid://shopify/TaxonomyAttribute/2216  : Наконечник ключа инструмента
gid://shopify/TaxonomyAttribute/3280  : Мобильность инструмента
gid://shopify/TaxonomyAttribute/2215  : Работа инструмента
gid://shopify/TaxonomyAttribute/2817  : Материал инструмента/прибора
gid://shopify/TaxonomyAttribute/5182  : Размер головки зубной щетки
gid://shopify/TaxonomyAttribute/5180  : Тип головки зубной щетки
gid://shopify/TaxonomyAttribute/6223  : Особенности держателя для зубных щеток
gid://shopify/TaxonomyAttribute/1674  : Тип зубной пасты
gid://shopify/TaxonomyAttribute/1675  : Конструкция зубочистки
gid://shopify/TaxonomyAttribute/6224  : Механизм выдачи зубочисток
gid://shopify/TaxonomyAttribute/10448 : Материал верхней деки
gid://shopify/TaxonomyAttribute/6968  : Способ доступа к верхней полке
gid://shopify/TaxonomyAttribute/6839  : Посадка топа
gid://shopify/TaxonomyAttribute/6840  : Стиль цилиндра
gid://shopify/TaxonomyAttribute/1193  : Длина верха
gid://shopify/TaxonomyAttribute/1400  : Материал верхней поверхности
gid://shopify/TaxonomyAttribute/5026  : Способ пополнения
gid://shopify/TaxonomyAttribute/6225  : Топографический рельеф
gid://shopify/TaxonomyAttribute/7986  : Форма топпинга
gid://shopify/TaxonomyAttribute/7987  : Тип топпинга
gid://shopify/TaxonomyAttribute/2223  : Тип ручки сумки тоут
gid://shopify/TaxonomyAttribute/2549  : Конструкция тотема
gid://shopify/TaxonomyAttribute/1881  : Возможности сенсорного экрана
gid://shopify/TaxonomyAttribute/5636  : Формфактор тачпада
gid://shopify/TaxonomyAttribute/1882  : Технология сенсорного экрана
gid://shopify/TaxonomyAttribute/5652  : Конфигурация проводов сенсорного экрана
gid://shopify/TaxonomyAttribute/11139 : Тип буксировочного крюка
gid://shopify/TaxonomyAttribute/11140 : Конфигурация точки буксировки
gid://shopify/TaxonomyAttribute/8793  : Защитные особенности буксировочного ремня
gid://shopify/TaxonomyAttribute/8794  : Тип буксировочного ремня
gid://shopify/TaxonomyAttribute/11141 : Стиль буксировочной трубки
gid://shopify/TaxonomyAttribute/11142 : Дисциплина буксируемого водного спорта
gid://shopify/TaxonomyAttribute/11143 : Особенности полотенца
gid://shopify/TaxonomyAttribute/6226  : Конструкция держателя для полотенец
gid://shopify/TaxonomyAttribute/11144 : Стиль полотенца
gid://shopify/TaxonomyAttribute/6227  : Тип плетения полотенца
gid://shopify/TaxonomyAttribute/6572  : Тип управления игрушечным самолетом
gid://shopify/TaxonomyAttribute/6573  : Особенности игрушечного самолета
gid://shopify/TaxonomyAttribute/6574  : Летные возможности игрушечного самолета
gid://shopify/TaxonomyAttribute/6575  : Аудиофункции игрушки
gid://shopify/TaxonomyAttribute/6576  : Игровые функции игрушечной лодки
gid://shopify/TaxonomyAttribute/6577  : Рекомендуемая среда игры для игрушечной лодки
gid://shopify/TaxonomyAttribute/6578  : Комплект игрушечного боулинга
gid://shopify/TaxonomyAttribute/6579  : Особенности игрушечной машины
gid://shopify/TaxonomyAttribute/6580  : Аксессуары планшета для рисования
gid://shopify/TaxonomyAttribute/6581  : Способ стирания игрушечного планшета для рисования
gid://shopify/TaxonomyAttribute/6582  : Тип экрана игрушечного планшета для рисования
gid://shopify/TaxonomyAttribute/6583  : Инструмент для письма и рисования на игрушечном планшете
gid://shopify/TaxonomyAttribute/6584  : Звуковые функции игрушечной фигурки
gid://shopify/TaxonomyAttribute/3398  : Тема игрушечной фигурки
gid://shopify/TaxonomyAttribute/6586  : Состав подарочной корзины игрушек
gid://shopify/TaxonomyAttribute/6587  : Способ запуска игрушечного планера
gid://shopify/TaxonomyAttribute/6588  : Тип управления игрушечным вертолетом
gid://shopify/TaxonomyAttribute/6589  : Особенности игрушечного вертолета
gid://shopify/TaxonomyAttribute/6590  : Состав набора игры «джекс»
gid://shopify/TaxonomyAttribute/6591  : Режим обучения игрушечной клавиатуры
gid://shopify/TaxonomyAttribute/6592  : Звуковая тематика игрушечной клавиатуры
gid://shopify/TaxonomyAttribute/6593  : Включенные кухонные приборы игрушечной кухни
gid://shopify/TaxonomyAttribute/6594  : Требование сборки игрушечной кухни
gid://shopify/TaxonomyAttribute/6595  : Интерактивные функции игрушечной кухни
gid://shopify/TaxonomyAttribute/6596  : Набор функций игрушечного мотоцикла
gid://shopify/TaxonomyAttribute/6597  : Масштаб игрушечного мотоцикла
gid://shopify/TaxonomyAttribute/6598  : Способ запуска игрушечного парашюта
gid://shopify/TaxonomyAttribute/6599  : Аксессуары игрушечного пианино и клавиатуры
gid://shopify/TaxonomyAttribute/6600  : Требуется сборка игрового набора
gid://shopify/TaxonomyAttribute/6601  : Состав игрового набора
gid://shopify/TaxonomyAttribute/6602  : Сертификация безопасности игрушек
gid://shopify/TaxonomyAttribute/6603  : Особенности игрушечного космического корабля
gid://shopify/TaxonomyAttribute/6604  : Класс размера игрушечного космического корабля
gid://shopify/TaxonomyAttribute/6605  : Состав набора игрушечной посуды
gid://shopify/TaxonomyAttribute/6606  : Электронные функции игрушечных инструментов
gid://shopify/TaxonomyAttribute/6607  : Состав набора игрушечных инструментов
gid://shopify/TaxonomyAttribute/3405  : Тип игрушечного инструмента
gid://shopify/TaxonomyAttribute/6608  : Масштаб игрушечного поезда
gid://shopify/TaxonomyAttribute/6609  : Тип конфигурации железнодорожного пути игрушечного поезда
gid://shopify/TaxonomyAttribute/6610  : Особенности игрушечного оружия и гаджетов
gid://shopify/TaxonomyAttribute/6585  : Функции игрушки/игры
gid://shopify/TaxonomyAttribute/2896  : Материал игрушки/игры
gid://shopify/TaxonomyAttribute/11147 : Конкретные виды легкой атлетики
gid://shopify/TaxonomyAttribute/11145 : Легкоатлетическая дисциплина
gid://shopify/TaxonomyAttribute/5474  : Конфигурация дорожек
gid://shopify/TaxonomyAttribute/11146 : Специализация легкоатлетического вида
gid://shopify/TaxonomyAttribute/6228  : Тип рельса трекового светильника
gid://shopify/TaxonomyAttribute/6229  : Совместимость трековой системы освещения
gid://shopify/TaxonomyAttribute/6230  : Конфигурация цепей трекового рельса
gid://shopify/TaxonomyAttribute/6611  : Особенности трекового набора
gid://shopify/TaxonomyAttribute/11148 : Совместимость поверхности трассы
gid://shopify/TaxonomyAttribute/6231  : Стандарт трековой системы
gid://shopify/TaxonomyAttribute/5344  : Формфактор трекера
gid://shopify/TaxonomyAttribute/11149 : Тип системы курсовой устойчивости
gid://shopify/TaxonomyAttribute/1549  : Отслеживание показателей
gid://shopify/TaxonomyAttribute/1934  : Цель отслеживания
gid://shopify/TaxonomyAttribute/11150 : Тип рисунка сцепления
gid://shopify/TaxonomyAttribute/3362  : Принадлежности для трактора в комплекте
gid://shopify/TaxonomyAttribute/6232  : Назначение тракторной шины
gid://shopify/TaxonomyAttribute/6233  : Классификация протектора тракторной шины
gid://shopify/TaxonomyAttribute/3046  : Характеристики выставочных экспозиций
gid://shopify/TaxonomyAttribute/10449 : Лига коллекционных карточек
gid://shopify/TaxonomyAttribute/2369  : Упаковка коллекционных карточек
gid://shopify/TaxonomyAttribute/3047  : Характеристики устройства для регулирования движения
gid://shopify/TaxonomyAttribute/2032  : Конструкция фотоловушки
gid://shopify/TaxonomyAttribute/8796  : Конструкция прицепа
gid://shopify/TaxonomyAttribute/8797  : Размер сцепного устройства прицепа
gid://shopify/TaxonomyAttribute/8798  : Место и способ установки фаркопа
gid://shopify/TaxonomyAttribute/8799  : Функция фонаря прицепа
gid://shopify/TaxonomyAttribute/11151 : Тип подвески прицепа
gid://shopify/TaxonomyAttribute/2724  : Тип автоприцепа
gid://shopify/TaxonomyAttribute/8800  : Цепи проводки прицепа
gid://shopify/TaxonomyAttribute/8801  : Тип разъема проводки прицепа
gid://shopify/TaxonomyAttribute/10450 : Назначение железнодорожного свистка
gid://shopify/TaxonomyAttribute/10451 : Характер звучания железнодорожного свистка
gid://shopify/TaxonomyAttribute/11152 : Тип крепления тренажера
gid://shopify/TaxonomyAttribute/2653  : Требования к обучающим данным
gid://shopify/TaxonomyAttribute/11153 : Форма тренировочного манекена
gid://shopify/TaxonomyAttribute/11154 : Направленность тренировки
gid://shopify/TaxonomyAttribute/11155 : Область тренировочной направленности
gid://shopify/TaxonomyAttribute/11156 : Цель тренировки
gid://shopify/TaxonomyAttribute/11157 : Совместимость с тренировочными поверхностями
gid://shopify/TaxonomyAttribute/11158 : Назначение тренировочной поверхности
gid://shopify/TaxonomyAttribute/6841  : Тип тренировочного использования
gid://shopify/TaxonomyAttribute/2766  : Конструкция батута
gid://shopify/TaxonomyAttribute/6612  : Тип защитного ограждения батута
gid://shopify/TaxonomyAttribute/6613  : Сертификация безопасности батута
gid://shopify/TaxonomyAttribute/5354  : Формфактор трансивера
gid://shopify/TaxonomyAttribute/5063  : Тип приспособления для перемещения
gid://shopify/TaxonomyAttribute/10452 : Метод переноса изображения
gid://shopify/TaxonomyAttribute/5064  : Форма доски для перемещения
gid://shopify/TaxonomyAttribute/1586  : Тип поверхности досок для пересаживания
gid://shopify/TaxonomyAttribute/10453 : Метод переноса
gid://shopify/TaxonomyAttribute/3272  : Техника использования термобумаги
gid://shopify/TaxonomyAttribute/10454 : Температура снятия подложки трансфера
gid://shopify/TaxonomyAttribute/8802  : Конструкция охладителя трансмиссии
gid://shopify/TaxonomyAttribute/8803  : Спецификация трансмиссионной жидкости
gid://shopify/TaxonomyAttribute/8804  : Материал втулки опоры трансмиссии
gid://shopify/TaxonomyAttribute/8805  : Тип опоры трансмиссии
gid://shopify/TaxonomyAttribute/2699  : Тип коробки передач
gid://shopify/TaxonomyAttribute/5478  : Формфактор передатчика
gid://shopify/TaxonomyAttribute/6969  : Уровень прозрачности
gid://shopify/TaxonomyAttribute/11159 : Тип транспортировочного кейса
gid://shopify/TaxonomyAttribute/5037  : Тип транспорта
gid://shopify/TaxonomyAttribute/10455 : Режимы транспонирования
gid://shopify/TaxonomyAttribute/11160 : Конструкция ловушки
gid://shopify/TaxonomyAttribute/11161 : Конфигурация пружин ловушки
gid://shopify/TaxonomyAttribute/3039  : Характеристики ведра для мусора
gid://shopify/TaxonomyAttribute/6970  : Комплект аксессуаров дорожной люльки
gid://shopify/TaxonomyAttribute/5212  : Характеристики дорожной подушки
gid://shopify/TaxonomyAttribute/1689  : Форма дорожной подушки
gid://shopify/TaxonomyAttribute/10456 : Требование сборки дорожной прялки
gid://shopify/TaxonomyAttribute/10457 : Особенности портативности дорожной прялки
gid://shopify/TaxonomyAttribute/8806  : Тип топлива приборов туристического прицепа
gid://shopify/TaxonomyAttribute/8807  : Тип накопительных баков туристического прицепа
gid://shopify/TaxonomyAttribute/8808  : Подключение питания туристического прицепа (береговое электропитание)
gid://shopify/TaxonomyAttribute/5176  : Совместимость кап
gid://shopify/TaxonomyAttribute/11162 : Тип рисунка протектора
gid://shopify/TaxonomyAttribute/11163 : Тип ключа беговой дорожки
gid://shopify/TaxonomyAttribute/11164 : Тип детали беговой дорожки
gid://shopify/TaxonomyAttribute/11165 : Положение элемента беговой дорожки
gid://shopify/TaxonomyAttribute/5291  : Метод лечения
gid://shopify/TaxonomyAttribute/5203  : Режимы обработки
gid://shopify/TaxonomyAttribute/1564  : Цель лечения
gid://shopify/TaxonomyAttribute/5268  : Целевая область обработки
gid://shopify/TaxonomyAttribute/1756  : Текстура средства для лечения
gid://shopify/TaxonomyAttribute/1644  : Тип лечения
gid://shopify/TaxonomyAttribute/6234  : Форма дерева
gid://shopify/TaxonomyAttribute/2805  : Материал опоры под елку
gid://shopify/TaxonomyAttribute/2108  : Конструкция решетки
gid://shopify/TaxonomyAttribute/10458 : Материал ударника треугольника
gid://shopify/TaxonomyAttribute/2877  : Конструкция трехколесного велосипеда
gid://shopify/TaxonomyAttribute/2878  : Тип движения трехколесного велосипеда
gid://shopify/TaxonomyAttribute/10459 : Разъем триггерного входа
gid://shopify/TaxonomyAttribute/10460 : Тип разъема входа триггера
gid://shopify/TaxonomyAttribute/10461 : Поддержка зон триггерного входа
gid://shopify/TaxonomyAttribute/6318  : Тип триггера
gid://shopify/TaxonomyAttribute/8809  : Тип регулировки наклона
gid://shopify/TaxonomyAttribute/10462 : Метод нанесения отделки
gid://shopify/TaxonomyAttribute/6842  : Детали отделки
gid://shopify/TaxonomyAttribute/10463 : Эластичность отделки
gid://shopify/TaxonomyAttribute/10464 : Отделка поверхности декоративной отделки
gid://shopify/TaxonomyAttribute/6235  : Система подачи лески триммера
gid://shopify/TaxonomyAttribute/6236  : Форма лески триммера
gid://shopify/TaxonomyAttribute/2166  : Тип размыкателя
gid://shopify/TaxonomyAttribute/3061  : Тип рукоятки штатива-треноги
gid://shopify/TaxonomyAttribute/3060  : Тип крепления штатива-треноги/монопода
gid://shopify/TaxonomyAttribute/2009  : Тип головки штатива-треноги/монопода
gid://shopify/TaxonomyAttribute/8810  : Тип питания троллейбуса
gid://shopify/TaxonomyAttribute/2528  : Конструкция награды
gid://shopify/TaxonomyAttribute/8812  : Класс длины кузова грузовика
gid://shopify/TaxonomyAttribute/8811  : Тип кузова или грузовой платформы грузовика
gid://shopify/TaxonomyAttribute/11166 : Схема монтажных отверстий траков
gid://shopify/TaxonomyAttribute/11167 : Стиль крепления грузовика
gid://shopify/TaxonomyAttribute/11168 : Профиль траков
gid://shopify/TaxonomyAttribute/2747  : Тип грузовика
gid://shopify/TaxonomyAttribute/10465 : Материал раструба трубы
gid://shopify/TaxonomyAttribute/10466 : Материал мундштучной трубки трубы
gid://shopify/TaxonomyAttribute/6971  : Механизм выдвижной кровати
gid://shopify/TaxonomyAttribute/8813  : Тип детали багажника
